sku,product_description,hs_code,product_category,supplier_name,supplier_country,country_of_origin_coo,incoterm,base_price_usd,freight_usd,insurance_percent,fx_rate,volume_units,bcd_percent,igst_percent,additional_duty_percent,fta_eligibility,fta_reduction_percent,lead_time_days,target_margin_percent,annual_revenue_usd,annual_duty_paid_usd
SKU-PLAS-013,Polypropylene Granules,390210,Plastics,LyondellBasell,Netherlands,Netherlands,DAP,1.2,0.1,1.0,83.2,25000,10.0,18,5,Yes,30,20,15,250000,25000
SKU-FURN-014,Wooden Dining Table,940360,Furniture,IKEA,Sweden,Vietnam,FOB,200.0,15.0,1.5,83.2,500,25.0,18,0,No,0,40,25,150000,37500
SKU-MET-015,Steel Plate (10mm),720851,Metals,ArcelorMittal,Luxembourg,China,CIF,500.0,20.0,1.2,83.2,300,7.5,18,0,No,0,30,18,300000,22500
SKU-CHEM-016,Sulphuric Acid,280700,Chemicals,The Mosaic Company,USA,USA,CPT,0.8,0.1,0.8,83.2,50000,10.0,18,5,Yes,25,25,12,100000,10000
SKU-TECH-017,Smartphone Display,852990,Consumer Electronics,LG Display,South Korea,Vietnam,FOB,60.0,2.5,1.1,83.2,2000,15.0,18,0,No,0,18,20,450000,67500
SKU-CON-018,Rebar (12mm),721420,Construction,Tata Steel,India,India,EXW,0.8,0.05,0.6,83.2,100000,0.0,18,0,No,0,10,20,150000,0
SKU-MED-019,Syringe (10ml),901831,Medical Supplies,Becton Dickinson,USA,USA,DAP,0.2,0.02,0.5,83.2,250000,10.0,18,0,No,0,15,30,50000,5000
SKU-AUTO-020,Tire (Sedan),401110,Automotive,Michelin,France,Thailand,CIF,80.0,4.0,1.5,83.2,800,10.0,18,0,No,0,22,25,200000,20000
SKU-AGRI-021,Basmati Rice,100630,Agriculture,KRBL Limited,India,India,CPT,1.5,0.1,0.7,83.2,50000,0.0,5,0,No,0,7,20,75000,0
SKU-ELEC-022,Circuit Breaker,853620,Electrical,ABB,Switzerland,China,FOB,35.0,1.2,0.9,83.2,500,7.5,18,0,Yes,30,20,25,150000,11250
SKU-CHEM-023,Ethanol,220710,Chemicals,Archer Daniels Midland,USA,USA,CPT,0.7,0.08,1.0,83.2,100000,10.0,18,5,No,0,28,10,120000,12000
SKU-PLAS-024,PET Plastic Bottles,392330,Packaging,Amcor,Australia,India,EXW,0.1,0.01,0.3,83.2,500000,10.0,18,0,No,0,12,20,50000,5000
SKU-FURN-025,Office Chair,940130,Furniture,Herman Miller,USA,China,CIF,150.0,8.0,1.8,83.2,300,25.0,18,0,Yes,50,35,30,90000,22500
SKU-MET-026,Copper Wire (1mm),740811,Metals,Hindustan Copper,India,India,EXW,8.0,0.5,0.5,83.2,5000,0.0,18,0,No,0,8,15,75000,0
SKU-TECH-027,Laptop CPU,847330,Computer Components,Intel,USA,Malaysia,DAP,250.0,5.0,1.2,83.2,1000,0.0,18,0,No,0,10,25,500000,0
SKU-MED-028,Blood Pressure Monitor,901890,Medical Devices,Omron,Japan,China,FOB,30.0,1.5,1.0,83.2,500,7.5,18,0,Yes,20,20,28,100000,7500
SKU-AUTO-029,Windshield Glass,700711,Automotive,Saint-Gobain,France,China,CIF,50.0,3.0,1.3,83.2,1000,10.0,18,0,No,0,25,22,120000,12000
SKU-ELEC-030,Electric Motor,850152,Electrical,WEG,Brazil,Brazil,CPT,500.0,10.0,2.0,83.2,200,7.5,18,0,Yes,15,40,25,250000,18750
SKU-PLAS-031,PVC Pipes (100mm),391723,Construction,Astral Pipes,India,India,EXW,10.0,0.8,0.9,83.2,2000,0.0,18,0,No,0,5,18,50000,0
SKU-AGRI-032,Tea Leaves,90230,Agriculture,Tata Tea,India,India,CPT,5.0,0.2,0.5,83.2,5000,0.0,5,0,No,0,10,20,100000,0
SKU-FURN-033,Sofa Set (3-seater),940140,Furniture,Ashley Furniture,USA,USA,DAP,400.0,30.0,2.5,83.2,100,25.0,18,0,No,0,50,28,150000,37500
SKU-MET-034,Aluminum Sheet,760611,Metals,Hindalco,India,India,EXW,2.0,0.15,0.8,83.2,10000,0.0,18,0,No,0,7,15,80000,0
SKU-TECH-035,Wireless Keyboard,847160,Consumer Electronics,Logitech,Switzerland,China,FOB,25.0,1.0,0.7,83.2,1500,15.0,18,0,Yes,30,15,25,75000,11250
SKU-MED-036,Surgical Gloves,401511,Medical Supplies,Ansell,Australia,Malaysia,CIF,0.2,0.02,0.3,83.2,50000,10.0,18,0,Yes,40,12,35,20000,2000
SKU-AUTO-037,Brake Pad Set,870830,Automotive,Brembo,Italy,Italy,DAP,40.0,2.0,1.0,83.2,1200,10.0,18,0,No,0,18,20,100000,10000
SKU-CHEM-038,Sodium Hydroxide,281512,Chemicals,Dow Chemical,USA,USA,CPT,0.5,0.05,1.1,83.2,50000,10.0,18,5,No,0,25,15,60000,6000
SKU-ELEC-039,Solar Inverter,850440,Renewable Energy,SMA Solar,Germany,Germany,CIF,800.0,15.0,1.5,83.2,50,7.5,18,0,Yes,40,30,30,150000,11250
SKU-PLAS-040,ABS Plastic Pellets,390330,Plastics,LG Chem,South Korea,South Korea,FOB,1.5,0.12,1.0,83.2,15000,10.0,18,5,No,0,20,18,200000,20000
SKU-FURN-041,Bookcase,940320,Furniture,Wayfair,USA,China,DAP,80.0,5.0,1.2,83.2,400,25.0,18,0,Yes,50,25,22,80000,20000
SKU-MET-042,Stainless Steel Coil,721934,Metals,Jindal Stainless,India,India,EXW,1000.0,40.0,1.3,83.2,100,0.0,18,0,No,0,15,12,150000,0
SKU-TECH-043,Gaming Mouse,847160,Consumer Electronics,Razer,USA,China,FOB,45.0,1.5,0.8,83.2,2000,15.0,18,0,No,0,10,30,120000,18000
SKU-MED-044,Digital Thermometer,902519,Medical Devices,Braun,Germany,China,CIF,15.0,0.8,0.7,83.2,1000,7.5,18,0,No,0,18,25,40000,3000
SKU-AUTO-045,Catalytic Converter,870892,Automotive,Tenneco,USA,USA,DAP,200.0,10.0,2.0,83.2,300,15.0,18,0,No,0,25,28,150000,22500
SKU-ELEC-046,LED Light Bulb,853950,Electrical,Philips,Netherlands,India,EXW,2.0,0.1,0.5,83.2,20000,10.0,18,0,No,0,7,20,50000,5000
SKU-AGRI-047,Coffee Beans,90121,Agriculture,Starbucks,USA,Brazil,CIF,8.0,0.5,0.8,83.2,10000,10.0,5,0,No,0,20,25,80000,8000
SKU-CHEM-048,Nitric Acid,280800,Chemicals,Yara,Norway,Norway,CPT,1.8,0.15,1.2,83.2,10000,10.0,18,5,No,0,30,12,100000,10000
SKU-PLAS-049,High-Density Polyethylene,390110,Plastics,Reliance Industries,India,India,EXW,1.1,0.08,0.9,83.2,25000,0.0,18,0,No,0,10,15,150000,0
SKU-FURN-050,Kitchen Cabinet Set,940340,Furniture,KraftMaid,USA,USA,DAP,500.0,35.0,2.0,83.2,50,25.0,18,0,No,0,45,30,100000,25000
